keys,en,ru
WELCOME_BTN,Welcome,Привет
SETTINGS_BTN,Settings,Настройки
MAPSLIST_BTN,Maps list,Список карт
ABOUT_BTN,About,О Проекте
START_MSG,"Welcome, player! 

[fill]This is special open-source launcher for comfort play to Russian Random Speedmap Pack 3.[/fill] 

Before we start, we need to configure paths to IWADs!","Приветствую, игрок! 

[fill]Это специальный лаунчер с открытым исходным кодом, созданный для удобного и корректного игрового опыта в Russian Random Speedmap Pack 3.[/fill]

Прежде чем мы начнем нам нужно настроить пути до IWADов!"
START_BTN,Let's Begin!,Начнем!
MUSIC_MSG,Music: Rustacean by AD_79,Музыка: Rustacean от AD_79
SITE_MSG,Official RRSP3 site,Официальный сайт RRSP3
IWADS_TITLE,Check your IWADs,Проверим твои IWADы
IWADS_DESC,"[fill]Distributing IWADs is illegal, so you will need to get your copies of the games into the IWADs folder, which you can open using the button below.[/fill]","[fill]Распространение IWADов является нелегальным, поэтому вам нужно будет поместить свои копии игр в папку IWADs, которую вы можете открыть с помощью кнопки ниже.[/fill]"
IWADS_BTN,IWADs folder,Папка для IWADов
WARN_TITLE,WARNING,ВНИМАНИЕ
WARN_DESC,"[fill]Despite the fact that you can freely take wads directly in the project folder for free use, [color=green]for the first playthrough it is highly recommended to play through this launcher[/color], because many maps were created for certain ports and certain settings. 

And it is [color=red]STRONGLY NOT RECOMMENDED TO USE ANY MODS[/color], even if they do not change the gameplay. You risk breaking some of the maps in this way, a number of levels do not explicitly support any mods![/fill]

[color=yellow]You have been warned![/color]","[fill]Несмотря на то, что вы можете свободно брать вады прямо в папке проекта для свободного использования, [color=green]для первого прохождения настоятельно рекомендуется играть через этот лаунчер[/color], потому что многие карты были созданы для определенных портов с определенными настройками. 

И [color=red]НАСТОЯТЕЛЬНО НЕ РЕКОМЕНДУЕТСЯ ИСПОЛЬЗОВАТЬ ЛЮБЫЕ МОДЫ[/color], даже если они не меняют геймплей. Так вы рискуете сломать некоторые карты, а ряд уровней вообще не поддерживают никаких модов![/fill]

[color=yellow]Вы были предупреждены![/color]"
LANG_TITLE,Launcher interface language,Язык интерфейса в лаунчере
HOURS_TITLE,Hours,Часов
SOURCEPORT_TITLE,Source-port,Исходный порт
PLAY_BTN,PLAY,ИГРАТЬ
THANKS_TITLE,Thank you for playing!,Спасибо за игру!
THANKS_DESC,"[fill]Thank you for paying attention to our project! Our team was hard at work trying to make interesting and memorable non-long various maps. Veterans with a lot of experience experimented with different ideas, and newcomers developed and honed their skills, showing things from their not yet blurry look.[/fill]","[fill]Спасибо за то, что обратили внимание на наш проект! Наша команда усердно трудилась, пытаясь сделать интересные и запоминающиеся недлинные разнообразные карты. Ветераны с большим опытом экспериментировали с различными идеями, а новички оттачивали свои навыки, показывая все со своей еще не размытой точки зрения.[/fill]"
LEADER_TITLE," Organization and leading project
 website, launcher and promotion"," Организация и ведение проекта
 сайт, лаунчер и продвижение"
ASSIST_TITLE,Assisting with project leading,Помощь с проведением проекта
MAPPERS_TITLE,Mappers,Мапперы
PROMOTION_TITLE,Additional help with promotion,Дополнительная помощь с продвижением
OTHERPROJECTS_TITLE,Also take a look at our previous projects,Также взгляните на наши прошлые проекты
COMPLETED,Completed,Пройдено
MISS_IWAD,You dont have IWAD for this map,У вас нету IWAD для этой карты
STEP1_MSG,1. Select mapper,1. Выбери маппера
STEP2_MSG,2. Select map,2. Выбери карту
STEP3_MSG,3. Look at map info,3. Прочти информацию о карте
STEP4_MSG,4. Select source-port,4. Выбери сурс-порт
STEP4PORT_MSG,    means recommended source-port to play selected map,    означает рекомендуемый для игры порт
STEP5_MSG,5. Play map,5. Пройди карту
STEP6_MSG,6. After playing mark map as completed,6. После игры пометь карту пройденой
TUTORIAL_END,Got it,Понятно
ART_CREDIT,Exclusive art by,Эксклюзивный арт от
LITE_TITLE,Choose map version,Выбери версию карты
LITE_MSG,"[fill]This map can be a little demanding on your computer, but it does have a [color=green]Lite version[/color] that is a bit more stripped down in terms of visuals and will be able to go on some weaker computers. Which version would you rather play?[/fill] ","[fill]Эта карта может быть требовательной к вашему компьютеру, но у нее есть [color=green]Lite версия[/color], которая немного урезана по визуальным эффектам и сможет пойти на некоторых более слабых компьютерах. В какую версию вы предпочтете играть?[/fill]"
LITE_DEFAULT_PLAY,Play default version,Играть в обычную версию
LITE_LITE_PLAY,Play Lite version,Играть в Lite версию
LITE_CANCEL,Cancel,Отмена
ERROR_TITLE,Errors in RRSP 3 files,Ошибки в файлах RRSP 3
ERROR_MSG,"[fill]It looks like some of the RRSP 3 files have been deleted, moved, renamed or just broken. [color=red]Please do not touch anything in the Data folder and the rrsp3.dat file!!![/color] And make sure that there are no Cyrillic characters (including Russian characters) in the path to the RRSP3 Launcher!!![/fill]","[fill]Похоже что часть файлов RRSP 3 были удалены, перемещены, переименованы или просто сломаны. [color=red]Пожалуйста, не трогайте ничего в папке Data и файле rrsp3.dat!!![/color] И проследите что в пути к лаунчеру RRSP3 нет символов кириллицы (в том числе русских символов)!!![/fill]"
ERROR_MISSED,The following files were not found:,Следующие файлы не были найдены:
ERROR_MSG2,"[fill]If you were unable to recover your files, re-download RRSP 3 from the official website.[/fill]","[fill]Если вы не смогли восстановить файлы, перекачайте RRSP 3 с официального сайта.[/fill]"
ABOUT_MAPPER,About mapper,Про маппера
MAPPER_TITLE,About mapper,Про маппера
MAPPER_OK,Ok,Ок
PROJECT_LEADER,PROJECT LEADER,ЛИДЕР ПРОЕКТА
PROJECT_ASSIST,LEAD ASSISTANT,ПОМОЩНИК ЛИДЕРА
GREAT_TESTER,GREAT TESTER,ОТЛИЧНЫЙ ТЕСТЕР
